"GenusSpp","Conc.cellsmL","totbiovol.um3mL","indbiovol.um3","date","month","CY","genus","order","class","diaztroph","diaztroph.fac"
"Anabaena sp.",1000,NA,448.9,2013-08-13,8,2013,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",64833.86,NA,NA,2009-08-23,8,2009,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",1560,NA,150.5,2013-08-13,8,2013,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",1440,NA,212.2,2013-09-23,9,2013,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",540,NA,239,2013-06-13,6,2013,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",245.726,NA,248.5,2011-06-26,6,2011,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",28,NA,696.9,2012-10-24,10,2012,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",4355.0208,NA,172,2012-10-24,10,2012,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",128,NA,179.6,2013-05-05,5,2013,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena sp.",520,NA,87.1,2012-08-28,8,2012,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Anabaena spiroides",5805,NA,629.2,2012-08-03,8,2012,"Anabaena","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon cf. flos-aquae",472.55,NA,130.7,2011-06-26,6,2011,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon cf. klebahnii",90729.6,NA,NA,2009-08-23,8,2009,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon cf. klebahnii",360,NA,67.7,2013-09-23,9,2013,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon cf. klebahnii",34557.248,NA,71.4,2013-06-13,6,2013,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon cf. klebahnii",25132.544,NA,88.4,2012-08-03,8,2012,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon cf. klebahnii",30740,NA,76,2014-07-14,7,2014,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon cf. klebahnii",1295.8968,NA,94.4,2013-05-05,5,2013,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon cf. klebahnii",9980.256,NA,70.2,2013-08-13,8,2013,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flos-aquae",2527.6,190479.936,75.36,2019-07-16,7,2019,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flos-aquae",872000,65713920,75.36,2017-08-15,8,2017,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flos-aquae/klebahnii",30,NA,79.5,2014-05-20,5,2014,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flos-aquae/klebahnii",2042.0192,NA,153.8,2014-06-16,6,2014,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flos-aquae/klebahnii",980,NA,57.7,2015-07-15,7,2015,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flos-aquae/klebahnii",5890.44,NA,61.2,2015-08-16,8,2015,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flos-aquae/klebahnii",102,NA,57.7,2015-05-15,5,2015,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flosaquae",6750,423900,62.8,2020-06-16,6,2020,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flosaquae",10900,821424,75.36,2018-06-12,6,2018,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flosaquae",49875,3758580,75.36,2019-08-13,8,2019,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flosaquae",2500,188400,75.36,2020-07-14,7,2020,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon flosaquae",46225,2902930,62.8,2019-09-17,9,2019,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon issatschenkoi",102,NA,86.7,2011-06-26,6,2011,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon issatschenkoi",645,NA,NA,2009-08-23,8,2009,"Cuspidothrix","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon klebahnii",1542403.2,123794947.9048,58.9,2012-08-28,8,2012,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon sp.",11350,855336,75.36,2016-07-15,7,2016,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanizomenon sp.",824.516129032258,62135.535483871,75.36,2019-10-15,10,2019,"Aphanizomenon","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanocapsa",198.8,834.96,4.2,2019-07-16,7,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa",68709.6774193548,35958.064516129,0.523333333333333,2018-09-11,9,2018,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa conferta",18849.408,NA,4.2,2014-06-16,6,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa conferta",4712.352,NA,0.9,2012-08-03,8,2012,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa conferta",15707.84,NA,1.8,2014-09-15,9,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa conferta",400,NA,3.1,2012-10-24,10,2012,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa conferta",25000,104666.666666667,4.18666666666667,2019-08-13,8,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa conferta",636,NA,2.6,2011-06-26,6,2011,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",52500,3434.375,0.0654166666666667,2017-06-13,6,2017,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",2827.4112,NA,0.4,2015-05-15,5,2015,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",18145.92,NA,0.5,2012-08-28,8,2012,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",1587.768,NA,0.5,2012-10-24,10,2012,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",25000,5000,0.2,2017-05-15,5,2017,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",12566.272,NA,0.9,2014-06-16,6,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",15707.84,NA,0.4,2014-09-15,9,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",4712.352,NA,0.4,2015-06-15,6,2015,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima",9110.5472,NA,0.3,2014-05-20,5,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima ",108750,56912.5,0.523333333333333,2016-10-16,10,2016,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa delicatissima ",8425,551.135416666667,0.0654166666666667,2016-08-15,8,2016,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa elegans",1500,50240,33.4933333333333,2020-07-14,7,2020,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa holsatica",27483.8709677419,14383.2258064516,0.523333333333333,2019-10-15,10,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa holsatica",175000,91583.3333333333,0.523333333333333,2017-08-15,8,2017,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa holsatica",191250,100087.5,0.523333333333333,2019-08-13,8,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa holsatica",7500,3925,0.523333333333333,2018-08-14,8,2018,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa holsatica",68750,971437.5,14.13,2019-09-17,9,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa incerta",25000,13083.3333333333,0.523333333333333,2018-08-14,8,2018,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa incerta",5000,2616.66666666667,0.523333333333333,2016-07-15,7,2016,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa incerta",8520,4260,0.5,2019-07-16,7,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa incerta",6804.72,NA,0.4,2013-08-13,8,2013,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa incerta",31415.68,NA,0.3,2014-07-14,7,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa planctonica",440,NA,8.2,2015-08-16,8,2015,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa planctonica",625000,2616666.66666667,4.18666666666667,2019-09-17,9,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa planctonica",157299.35483871,3529469.8155914,22.4379166666667,2019-10-15,10,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa planctonica",670,NA,6.4,2014-10-15,10,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa planctonica",1727.8624,NA,8.2,2015-05-15,5,2015,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa planctonica",680,NA,8.2,2015-09-15,9,2015,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",150000,2119500,14.13,2019-08-13,8,2019,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",25132.544,NA,0.5,2014-08-14,8,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",18849.408,NA,0.4,2013-06-13,6,2013,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",34557.248,NA,0.3,2014-08-14,8,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",22250,745226.666666667,33.4933333333333,2020-06-16,6,2020,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",37698.816,NA,0.7,2013-09-23,9,2013,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",1256.6272,NA,11.5,2014-05-20,5,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",1120,NA,8.2,2014-08-14,8,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",29583.3333333333,418012.5,14.13,2020-05-12,5,2020,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",16021.9968,NA,1.4,2013-05-05,5,2013,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",940,NA,8.2,2014-10-15,10,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",21990.976,NA,0.5,2016-06-15,6,2016,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",16493.232,NA,0.4,2015-08-16,8,2015,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",1884.9408,NA,1.2,2014-06-16,6,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",760,NA,8.2,2014-09-15,9,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",946.666666666667,1672.05,1.76625,2018-10-16,10,2018,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",11000,155430,14.13,2020-06-16,6,2020,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",81680.768,NA,1.8,2014-08-14,8,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",14698.1952,NA,0.3,2012-10-24,10,2012,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",12566.272,NA,0.4,2014-10-15,10,2014,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanocapsa sp.",600,NA,8.2,2013-09-23,9,2013,"Aphanocapsa","Synechococcales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",6870.96774193548,3033.96169354839,0.4415625,2019-10-15,10,2019,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",1088.7552,NA,1.2,2012-10-24,10,2012,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",7225.6064,NA,1.2,2014-06-16,6,2014,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",4908.7,NA,1,2015-06-15,6,2015,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",5497.744,NA,1.2,2014-05-20,5,2014,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",113096.448,NA,8,2015-08-16,8,2015,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",11780.88,NA,0.5,2014-09-15,9,2014,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",40840.384,NA,0.5,2014-08-14,8,2014,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",4045.028,NA,1,2011-06-26,6,2011,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",7539.7632,NA,1,2015-05-15,5,2015,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",7500,183.984375,0.02453125,2020-06-16,6,2020,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",108384.096,NA,1,2015-07-15,7,2015,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",1690.47619047619,2654.04761904762,1.57,2018-05-15,5,2018,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Aphanothece sp.",21205.584,NA,1,2013-05-05,5,2013,"Aphanothece","Cyanobacteriales","Cyanophyceae",1,"diaz"
"Asterionella formosa",121.714285714286,19873.5085714286,163.28,2017-07-11,7,2017,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",12,NA,750.9,2016-06-15,6,2016,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",1,NA,270.6,2015-06-15,6,2015,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",16,NA,1272.9,2012-06-13,6,2012,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",235.6176,NA,750.9,2016-05-15,5,2016,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",471.2352,NA,407.4,2014-05-20,5,2014,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",235.6176,NA,282.2,2013-05-05,5,2013,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",78.5392,NA,750.9,2016-05-15,5,2016,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",96.1135371179039,66395.231441048,690.8,2019-06-11,6,2019,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",942.4704,NA,270.6,2015-05-15,5,2015,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",100,18840,188.4,2016-07-15,7,2016,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",117.8088,NA,270.6,2015-05-15,5,2015,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",78.5392,NA,407.4,2014-05-20,5,2014,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella formosa",157.0784,NA,282.2,2013-05-05,5,2013,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella sp.",676.190476190476,382182.857142857,565.2,2018-05-15,5,2018,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Asterionella sp.",2638.83333333333,988097.9475,374.445,2020-05-12,5,2020,"Asterionella","Fragilariales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira",397.6,312116,785,2019-07-16,7,2019,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira",4663.05676855895,1405631.83231441,301.44,2019-06-11,6,2019,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira ambigua",816.5664,NA,846.1,2012-10-24,10,2012,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira ambigua",33,18684,508.4,2011-06-26,6,2011,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira ambigua",245,NA,NA,2009-08-23,8,2009,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira ambigua",75,72211.5,543.7,2012-08-03,8,2012,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira ambigua",863.9312,964111.71072,543.7,2012-06-13,6,2012,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira ambigua",20,NA,3068,2015-09-15,9,2015,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira ambigua",120,NA,540,2012-08-28,8,2012,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira cf. italica",1021.0096,NA,537.3,2013-05-05,5,2013,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",3141.568,NA,209.1,2014-08-14,8,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",40,NA,278.4,2015-09-15,9,2015,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",1570.784,1365222.644,278.4,2015-08-16,8,2015,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",3141.568,NA,278.4,2015-07-15,7,2015,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",1256.6272,NA,278.4,2015-05-15,5,2015,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",235.6176,NA,353.4,2016-06-15,6,2016,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",20,NA,278.4,2015-10-14,10,2015,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",785.392,NA,331.3,2014-05-20,5,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",32,NA,353.4,2016-05-15,5,2016,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",300,NA,209.1,2014-09-15,9,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",314.1568,261632.8996,278.4,2015-06-15,6,2015,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira distans",1570.784,NA,278.4,2014-10-15,10,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata",11,NA,995.5,2013-05-05,5,2013,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata",12,NA,624.8,2014-06-16,6,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",40,NA,203.3,2014-10-15,10,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",30,NA,183.5,2015-05-15,5,2015,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",24,NA,185.9,2013-05-05,5,2013,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",40,NA,172.4,2013-09-23,9,2013,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",36,NA,340.2,2014-05-20,5,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",40,NA,203.3,2014-09-15,9,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",400,NA,203.3,2014-08-14,8,2014,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",945.1,NA,NA,2009-08-23,8,2009,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",3266.2656,1555072.85888,229.7,2012-10-24,10,2012,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",1134.12,952910.3064,340.2,2013-08-13,8,2013,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira granulata v. angustissima",10.5,NA,181.6,2011-06-26,6,2011,"Aulacoseira","Aulacoseirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira pusilla",6100,2451712,401.92,2016-10-16,10,2016,"Melosira","Melosirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira pusilla",91.6129032258064,24667.2322580645,269.255,2019-10-15,10,2019,"Melosira","Melosirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira pusilla",5500,2210560,401.92,2016-07-15,7,2016,"Melosira","Melosirales","Bacillariophyceae",NA,"NoClass"
"Aulacoseira pusilla",1944.44444444444,781511.111111111,401.92,2016-09-15,9,2016,"Melosira","Melosirales","Bacillariophyceae",NA,"NoClass"
