"GenusSpp"
"Dictyospaerium Ehrenbergianum"
"Cryptomonas phaseolus"
"Dolichosprmum flos-aquae"
"Dolichosprmum sproides"
"Ceratium hirundinella"
"Desmodesmus opoliensis"
"Goniochloris mutica"
"Monoraphidium minutum"
"Oocystis parva"
"Scenedesmus arcuatus"
"Cryptomonas pyrenoidifera"
"Aphanocapsa holsatica"
"Aphanocapsa incerta"
"Oscillatoria sp"
"Planktothrix agardhii"
"Snowella lacustris"
"Woronichinia naegeliana"
"Stephanodiscus"
"Coelastrum spaericum"
"Scenedesmus bijuga"
"Aphanocapsa"
"Chroococcus"
"Dolichosprmum"
"Kirchneriella contorta"
"Dinobryon sp"
"Aphanocapsa sp"
"Oscillatoriales"
"Mallomonas"
"Microcystis wesenbergii"
"Komvophoron sp"
"Melosira varians"
"Synedra ulna"
"Tetraselmis cordiformis"
"Aulacoseira"
"Cyclotella"
"Staurastrum"
"Closterium"
"Cryptomonas"
"Coelospaerium kuetzingianum"
"Cosmarium"
"Desmodesmus costato-granulatus"
"Lagerheimia ciliata"
"Nephrocytium agardhianum "
"Selenastrum bibraianum"
"Tetrastrum glabrum"
"Kephyrion"
"Aphanizomenon flos-aquae"
"Merismopedia punctata"
"Romeria"
"Unidentified coccoid"
"Oocystis borgei"
"Aphanocapsa conferta"
"Chroococcus turgidus"
"Acutodesmus pectinatus"
"Desmodesmus brasiliensis"
"Desmodesmus sp"
"Monoraphidium griffithi"
"Tetraspra sp"
"Aphanocapsa planctonica"
"Chroococcus limneticus"
"Snowella litoralis"
"Aulacoseira pusilla"
"Closteriopsis acicularis"
"Crucigenia truncata "
"Pediastrum simplex"
"Aphanizomenon sp"
"Chroococcus microscopicus"
"Microcystis sp"
"Kirchneriella irregularis"
"Scenedesmus sp"
"Tetrastrum staurogeniiforme"
"Tetrastrum triangulare"
"Strombomonas sp"
"Chrysochromulina parva"
"Fragilaria"
"Desmodesmus"
"Oocystis"
"Microcystis"
"Cocconeis"
"Aphanothece"
"Misc. dinoflagellates"
"Unidentified centric chain"
"Acutodesmus acuminatus"
"Coenococcus planctonicus"
"Crucigenia quadrata"
"Eudorina elegans"
"Gloeocystis sp"
"Green speres, solitary"
"Kirchneriella lunaris"
"Lagerheimia sp"
"Micractinium pusillum "
"Monoraphidium irregulare"
"Oocystis sp"
"Tetrabaena socialis"
"Dolichosprmum circinalis"
"Colonial greens"
"Crucigenia sp"
"Kirchneriella subsolitaria"
"Pseudodidymocystis planctonica"
"Cryptomonas tetrapyrenoidosa"
"Cyanophyte colony"
"Dolichosprmum circinale"
"Green flagellate"
"Staurastrum sp"
"Aphanocapsa elegans"
"Goniochloris sculpta"
"Microcystis flos aquae"
"Planktothrix sp"
"Woronichinia sp"
"Monoraphidium griffithii"
"Chroococcus disprsus"
"Chlorogonium elongatum"
"Aulacoseira sp #2"
"Actinastrum gracillimum"
"Closterium aciculare"
"Dictyospaerium pulchellum "
"Monoraphidium contortum"
"Aphanocapsa delicatissima"
"Merismopedia minima"
"Crucigenia fenestrata"
"Desmodesmus armatus var. bicaudatus"
"Gloeocystis planctonica"
"Lagerheimia quadriseta"
"Nephrochlamys rostrata"
"Oocystis parva "
"Pediastrum angulosum"
"Pediastrum duplex gracilimum"
"Tetrastrum heteracanthum"
"Desmodesmus subspcatus"
"Scenedesmus obtusus "
"Sorastrum americanum "
"Tetraedron trigonum "
"Merismopedia minima "
"Coelastrum microporum"
"Crucigeniella rectangularis"
"Desmodesmus intermedius"
"Lagerheimiella genevensis"
"Lagerheimiella longiseta"
"Ochromonas sp"
"Chroomonas nordstedtii "
"Aphanocapsa delicatissima "
"Planktothrix agardhii "
"Actinastrum hantzschii"
"Closteriiopsis longissima"
"Coronastrum ellipsoideum"
"Desmodesmus denticulatus"
"Scenedesmus quadricauda"
"Coelospaerium subarcticum"
"Pseudanabaena sp"
"Unid. Coccoids (<5µ)"
"Kirchneriella sp"
"Oocystis solitaria Whitrock"
"Tetraedron muticum"
"Chrysococcus sp"
"Rhodomonas lens"
"Rhodomonas minuta"
"Chroococcus disprsus "
"Snowella sp"
"Synechocystis sp"
"Aulacoseira granulata v. angustissima"
"Aulacoseira ambigua"
"centric diatom sp"
"Epithemia sp"
"pennate diatom sp"
"Monoraphidium circinale"
"chlorophyte colony sp"
"Scenedesmus sempervirens"
"chlorophyte unicell, spere  2.5-5um sp"
"Scenedesmus sp"
"chlorophyte unicell, oval  2.5-5um sp"
"Tetraedron minimum"
"Tetrastrum staurogeniaeforme"
"chlorophyte unicell, spere  5-7.5um sp"
"Lagerheimia subsalsa"
"Dictyospaerium ehrenbergianum"
"Cyanocatena sp"
"cyanophyte tetrad sp"
"Cyanodictyon sp"
"cyanophyte colony sp"
"cyanophyte unicell, spere  2.5-5um sp"
"cyanophyte unicell, oval/rod  2.5-5um sp"
"Planktolyngyba limnetica"
"Microcystis botrys"
"Trachelomonas volvocina"
"unicell, spere  2.5-5um sp"
"unicell, spere  5-7.5um sp"
"unknown flagellate sp"
"unknown unicell sp"
"Goniochloris sp"
"Pseudostaurastrum limneticum"
"Fragilaria capucina"
"Gyrosigma sp"
"chlorophyte unicell sp"
"Botryococcus braunii"
"cryptophyte sp"
"Cryptomonas cf. ovata"
"Microcystis cf. smithii (colony)"
"Pseudanbaena mucicola"
"Aphanizomenon cf. klebahnii"
"Anabaena sp"
"Microcystis cf. smithii (unicell)"
"Microcystis cf. smithii (cell pair)"
"Cyanogranis ferruginea"
"Aphanizomenon issatschenkoi"
"Phormidium sp"
"Pseudanbaena sp"
"Trachelomonas hispda"
"microflagellate sp"
"cf. Gymnodinium sp"
"xanthophyte unicell sp"
"Scenedesmus disciformis"
"Pandorina morum"
"Didymocystis sp"
"Fusola viridis"
"Cryptomonas ovata"
"Anabaena cf. crassa"
"Anabaena flos-aquae"
"Microcystis cf. protocystis"
"Microcystis sp"
"Aphanizomenon cf. flos-aquae"
"Pseudanabaena mucicola"
"Coelomoron/Snowella sp"
"Cymbella/Encyonema sp"
"Pinnularia sp"
"Coenochloris fottii"
"Schroederia setigera"
"Oocystis sp"
"Monoraphidium sp"
"Closterium sp"
"Didymocystis fina"
"chlorophyte sp"
"Anabaena mendotae"
"Microcystis sp(unicell)"
"Microcystis sp(cell pair)"
"Spirulina sp"
"Cyanocatena planctonica"
"Woronichinia naegeliana (unicell)"
"Woronichinia naegeliana (cell pair)"
"cyanophyte unicelll, oval/rod  2.5-5um sp"
"Woronichinia naegeliana (colony)"
"chlorophyte unicell, oval  5-7.5um sp"
"Monoraphidium nanum"
"Anabaena sproides"
"Nitzschia acicularis"
"Aphanizomenon klebahnii"
"Planktolyngbya sp"
"cyanophyte cell pair sp"
"Synedra acus/ulna"
"Quadricoccus ellipticus"
"Dichotomococcus sp"
"chlorophyte cell pair, oval sp"
"chlorophyte cell pair, spere sp"
"Microcystis/Anabaena sp(cell pair)"
"Microcystis/Anabaena sp(unicell)"
"euglenophyte sp"
"Aulacoseira cf. italica"
"Achnanthdium sp"
"Aulacoseira granulata"
"Koliella/Monoraphidium sp"
"cf. Coenocystis sp"
"Lagerheimia genevensis"
"Closterium acutum v. variabile"
"Treubaria schmidlei"
"Nephrocytium sp"
"Anabaena cf. mendotae"
"unknown flagellate sp"
"Microcystis viridis"
"Anabaena lemmermannii"
"chlorophyte cell pair sp"
"Crucigeniella sp"
"Cyanodictyon imperfectum"
"dinoflagellate sp"
"Pseudostaurastrum sp"
"Dactylococcopsis irregularis"
"Aulacoseira distans"
"Amphiprora sp"
"Mucidospaerium pulchellum"
"Tetrastrum elegans"
"Mucidospaerium sp"
"Pseudopediastrum boryanum"
"Stauridium tetras"
"Desmodesmus sp"
"Hindakia tetrachotoma"
"chlorophyte flagellate sp"
"Desmodesmus sempervirens"
"Oocystis lacustris"
"Nephrochlamys subsolitaria"
"Pseudodidymocystis fina"
"Treubaria triappendiculata"
"Tetraedron sp"
"Westella botryoides"
"Scenedesmus cf. ovalternus"
"Chroomonas/Rhodomonas sp"
"nostocalean filament sp"
"Dolichosprmum cf. mendotae"
"cyanophyte filament sp"
"Aphanizomenon flos-aquae/klebahnii"
"Chrysochromulina cf. parva"
"Peridinium umbonatum"
"Goniochloris contorta"
"Cryptomonas cf. erosa"
"Dolichosprmum/Microcystis sp(cell pair)"
"Dolichosprmum/Microcystis sp(unicell)"
"Crucigeniella pulchra"
"Dictytospaerium sp"
"chlorophyte unicell, spere  5-7.5um sp"
"Scenedesmus verrucosus"
"Coelastrum astroideum"
"Desmodesmus smithii"
"chlorophyte unicell, oval  5-7.5um sp"
"Closterium acutum v. linea"
"Desmodesmus cf. bicaudatus"
"Desmodesmus serratus"
"Koliella longiseta v. tenuis"
"Koliella longiseta v. variabilis"
"Phacotus sp"
"cyanophyte cell pair, oval/rod sp"
"Desmodesmus sp"
"Staurastrum tetracerum"
"Oocystis pusilla"
"Pseudodidymocystis sp"
"Kephyrion/Pseudokephyrion sp"
"cf. Sphaerosprmopsis aphanizomenoides"
"Chrysochromulina sp"
"Pseudostaurastum sp"
"Stephanodiscus niagarae"
"Coelospaerium sp"
"Mychonastes sp"
"Dictyospaerium sp"
"Desmodesmus quadricauda"
"Desmodesmus cf. intermedius"
"Hariotina reticulata"
"Koliella longiseta"
"chlorophyte unicell, oval 2.5-5um sp"
"chrysophyte flagellate sp"
"chlorophyte unicell, oval 5-7.5um sp"
"chrysophyte colony sp"
"Peridiniopsis sp"
"Koliella sp"
"Synechococcus sp"
"unknown unicell, oval sp"
"unknown unicell, spere sp"
"Gomphonema/Gomphoneis sp"
"Rhoicospenia abbreviata"
"Nitzschia sigmoidea"
"Gomphonema acuminatum"
"chlorophyte tetrad sp"
"Dolichosprmum mendotae/sigmoideum"
